date,open,high,low,close,volume
2018-02-26,4.098,4.133,4.05,4.12,202772259.0
2018-02-27,4.128,4.129,4.055,4.061,211823291.0
2018-02-28,4.028,4.055,3.995,4.02,239224566.0
2018-03-01,4.0,4.067,3.993,4.049,118636949.0
2018-03-02,4.02,4.043,4.008,4.022,90614682.0
2018-03-05,4.025,4.049,3.99,4.013,96012470.0
2018-03-06,4.042,4.074,3.997,4.073,133593823.0
2018-03-07,4.07,4.093,4.031,4.04,139728541.0
2018-03-08,4.042,4.083,4.031,4.081,93207522.0
2018-03-09,4.088,4.117,4.074,4.111,111687110.0
2018-03-12,4.131,4.148,4.117,4.123,294989163.0
2018-03-13,4.12,4.127,4.077,4.079,143512766.0
2018-03-14,4.07,4.085,4.061,4.065,120903364.0
2018-03-15,4.06,4.098,4.052,4.095,100079431.0
2018-03-16,4.09,4.105,4.049,4.05,88323264.0
2018-03-19,4.049,4.075,4.029,4.072,80902013.0
2018-03-20,4.059,4.082,4.034,4.07,75493600.0
2018-03-21,4.086,4.114,4.04,4.049,129100272.0
2018-03-22,4.056,4.069,4.003,4.013,98444017.0
2018-03-23,3.9,3.923,3.825,3.894,278976065.0
2018-03-26,3.863,3.886,3.827,3.876,233957550.0
2018-03-27,3.921,3.93,3.885,3.911,143793379.0
2018-03-28,3.874,3.904,3.829,3.832,135099139.0
2018-03-29,3.847,3.919,3.793,3.902,193453972.0
2018-03-30,3.903,3.915,3.878,3.896,92303130.0
2018-04-02,3.897,3.936,3.88,3.883,177505995.0
2018-04-03,3.859,3.878,3.837,3.858,140985282.0
2018-04-04,3.867,3.896,3.843,3.848,102878409.0
2018-04-09,3.852,3.875,3.828,3.853,119199109.0
2018-04-10,3.857,3.929,3.853,3.928,159073409.0
2018-04-11,3.938,3.957,3.926,3.933,136495500.0
2018-04-12,3.932,3.938,3.891,3.892,96730312.0
2018-04-13,3.915,3.927,3.858,3.865,121246776.0
2018-04-16,3.858,3.87,3.791,3.804,114159639.0
2018-04-17,3.815,3.82,3.745,3.748,138299800.0
2018-04-18,3.781,3.795,3.71,3.756,212567660.0
2018-04-19,3.765,3.819,3.764,3.809,171495153.0
2018-04-20,3.797,3.81,3.743,3.75,163178579.0
2018-04-23,3.743,3.789,3.731,3.766,106409975.0
2018-04-24,3.774,3.855,3.774,3.845,179486723.0
2018-04-25,3.829,3.837,3.813,3.822,107213904.0
2018-04-26,3.827,3.834,3.74,3.746,127956877.0
2018-04-27,3.766,3.769,3.712,3.754,117876195.0
2018-05-02,3.77,3.789,3.741,3.766,113098000.0
2018-05-03,3.756,3.802,3.731,3.788,150087441.0
2018-05-04,3.786,3.799,3.764,3.77,111229369.0
2018-05-07,3.776,3.835,3.77,3.831,151975283.0
2018-05-08,3.835,3.891,3.83,3.881,188264393.0
2018-05-09,3.88,3.881,3.853,3.87,87267325.0
2018-05-10,3.881,3.898,3.862,3.896,99489112.0
2018-05-11,3.903,3.91,3.869,3.873,85096764.0
2018-05-14,3.881,3.916,3.881,3.907,180928713.0
2018-05-15,3.915,3.922,3.884,3.922,144488809.0
2018-05-16,3.908,3.917,3.882,3.89,87803478.0
2018-05-17,3.892,3.897,3.856,3.857,83591034.0
2018-05-18,3.862,3.904,3.844,3.899,191679213.0
2018-05-21,3.925,3.942,3.906,3.918,158257390.0
2018-05-22,3.918,3.918,3.878,3.902,84688776.0
2018-05-23,3.892,3.893,3.85,3.851,110004473.0
2018-05-24,3.85,3.86,3.816,3.82,121639995.0
2018-05-25,3.819,3.839,3.801,3.811,103168428.0
2018-05-28,3.819,3.85,3.801,3.835,91613409.0
2018-05-29,3.83,3.84,3.797,3.799,126385560.0
2018-05-30,3.762,3.767,3.726,3.727,144032281.0
2018-05-31,3.748,3.806,3.742,3.803,170193623.0
2018-06-01,3.786,3.799,3.76,3.777,121025470.0
2018-06-04,3.797,3.818,3.784,3.814,126079681.0
2018-06-05,3.81,3.85,3.803,3.846,104885997.0
2018-06-06,3.841,3.849,3.831,3.839,83502820.0
2018-06-07,3.853,3.869,3.831,3.838,109814321.0
2018-06-08,3.83,3.83,3.768,3.787,135333285.0
2018-06-11,3.771,3.805,3.77,3.797,76834934.0
2018-06-12,3.798,3.848,3.779,3.835,122168366.0
2018-06-13,3.822,3.827,3.79,3.796,114881661.0
2018-06-14,3.785,3.821,3.776,3.786,137252556.0
2018-06-15,3.78,3.802,3.76,3.78,130340300.0
2018-06-19,3.755,3.755,3.611,3.65,351576108.0
2018-06-20,3.637,3.667,3.605,3.65,249030285.0
2018-06-21,3.652,3.696,3.614,3.62,333719959.0
2018-06-22,3.61,3.637,3.572,3.636,154260956.0
2018-06-25,3.648,3.654,3.584,3.585,115424451.0
2018-06-26,3.551,3.571,3.507,3.55,202340188.0
2018-06-27,3.553,3.56,3.457,3.466,200894524.0
2018-06-28,3.45,3.499,3.44,3.446,162531044.0
2018-06-29,3.449,3.543,3.449,3.537,170604955.0
2018-07-02,3.531,3.535,3.405,3.443,212198117.0
2018-07-03,3.442,3.453,3.349,3.43,361552434.0
2018-07-04,3.423,3.44,3.389,3.394,126890878.0
2018-07-05,3.395,3.427,3.36,3.366,172621249.0
2018-07-06,3.372,3.431,3.33,3.395,235437839.0
2018-07-09,3.41,3.497,3.41,3.494,229957247.0
2018-07-10,3.5,3.507,3.469,3.503,145734481.0
2018-07-11,3.44,3.46,3.399,3.445,195431757.0
2018-07-12,3.443,3.546,3.441,3.528,208933958.0
2018-07-13,3.529,3.543,3.517,3.534,132747563.0
2018-07-16,3.531,3.559,3.506,3.519,126517900.0
2018-07-17,3.515,3.519,3.47,3.497,121537372.0
2018-07-18,3.502,3.535,3.48,3.481,127613656.0
2018-07-19,3.499,3.522,3.468,3.483,141953100.0
2018-07-20,3.481,3.565,3.454,3.55,193402166.0
2018-07-23,3.53,3.582,3.52,3.573,173776124.0
2018-07-24,3.581,3.657,3.581,3.639,260280530.0
2018-07-25,3.64,3.645,3.621,3.638,202257308.0
2018-07-26,3.635,3.649,3.582,3.591,155486234.0
2018-07-27,3.586,3.604,3.57,3.582,87662456.0
2018-07-30,3.581,3.607,3.544,3.562,159982013.0
2018-07-31,3.557,3.594,3.553,3.575,105773714.0
2018-08-01,3.595,3.609,3.494,3.495,269610753.0
2018-08-02,3.484,3.487,3.378,3.417,270606239.0
2018-08-03,3.416,3.43,3.368,3.369,167573565.0
2018-08-06,3.369,3.4,3.313,3.334,222204999.0
2018-08-07,3.34,3.429,3.323,3.427,225098060.0
2018-08-08,3.421,3.422,3.363,3.377,197563683.0
2018-08-09,3.375,3.469,3.363,3.458,229221996.0
2018-08-10,3.453,3.482,3.436,3.464,137674358.0
2018-08-13,3.43,3.458,3.392,3.449,170754010.0
2018-08-14,3.446,3.451,3.412,3.434,97181092.0
2018-08-15,3.432,3.434,3.345,3.352,151489700.0
2018-08-16,3.33,3.377,3.292,3.338,207748996.0
2018-08-17,3.362,3.366,3.278,3.287,180110413.0
2018-08-20,3.295,3.325,3.27,3.322,204679525.0
2018-08-21,3.321,3.396,3.321,3.379,232249206.0
